2022-11-18 15:03:02.102 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 15:03:22.172 Tools.py[12] GetMainWindow -> 2022-11-18 15:05:36.148 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 15:05:56.176 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 15:06:16.216 Tools.py[12] GetMainWindow -> 2022-11-18 15:10:12.739 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 15:10:32.858 Tools.py[12] GetMainWindow -> Find Control Timeout(20s): {Name: '增值税发票税控开票软件（金税盘版）', ControlType: WindowControl}
2022-11-18 15:10:52.916 Tools.py[12] GetMainWindow -> 2022-11-18 15:12:40.040 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:12:54.505 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:12:55.039 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:12:55.583 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:12:56.132 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:04.307 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:18.931 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:19.475 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:20.001 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:20.515 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:28.730 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:13:42.276 Invoice.py[164] ShouldDoubleClickQueryResult -> 2022-11-18 15:17:38.818 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:17:53.860 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:17:54.384 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:17:54.917 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:17:55.465 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:03.675 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:17.682 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:18.197 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:18.717 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:19.243 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:27.408 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 15:18:41.195 Invoice.py[164] ShouldDoubleClickQueryResult -> 2022-11-18 16:29:57.127 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 16:30:11.969 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
2022-11-18 16:30:12.500 Invoice.py[164] ShouldDoubleClickQueryResult -> Find Control Timeout(0.5s): {Name: '过程提示', ControlType: PaneControl}
